Suburb,Rooms,Type,Method,SellerG,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Latitude,Longtitude,Regionname,Propertycount,ParkingArea,Price,year_list,month_list
Southbank,2,u,S,Dixon,1.2,3006,2,1,1,0,93.4,1982,Melbourne City Council,-37.8242,144.9626,Southern Metropolitan,8400,Detached Garage,505000,2017,8
Essendon,5,h,S,Brad,7.5,3040,5,3,2,590,223,1880,Moonee Valley City Council,-37.75511,144.90935,Western Metropolitan,9264,Parkade,2210000,2017,3
Moonee Ponds,2,h,SP,Alexkarbon,6.2,3039,2,1,0,379,78,1890,Moonee Valley City Council,-37.7716,144.92539,Western Metropolitan,6232,Underground,950000,2017,9
Templestowe Lower,3,h,S,Barry,13.8,3107,3,2,1,467,180,1983.6,Manningham City Council,-37.7699,145.1081,Eastern Metropolitan,5420,Attached Garage,838000,2016,5
Essendon,3,h,S,Rendina,7.5,3040,3,1,2,580,160,1950,Moonee Valley City Council,-37.74439,144.923,Western Metropolitan,9264,Attached Garage,1715000,2018,10
Kings Park,3,h,S,YPA,14,3021,3,1,2,363.8,140,1970,Brimbank City Council,-37.73286,144.77928,Western Metropolitan,2878,Carport,667000,2017,7
Essendon,2,u,PI,Hodges,8,3040,2,2,1,0,82.4,1980.6,Moonee Valley City Council,-37.7465,144.91,Western Metropolitan,9264,Carport,510000,2017,4
Altona North,3,h,S,Greg,9.4,3025,3,1,3,557,111,1970,Hobsons Bay City Council,-37.84061,144.84692,Western Metropolitan,5132,Attached Garage,750000,2018,3
Dandenong North,3,h,PI,Stockdale,24.7,3175,3,1,2,223.4,100,1975,Greater Dandenong City Council,-37.95452,145.21197,South-Eastern Metropolitan,8322,Attached Garage,574000,2017,10
Dandenong,3,h,S,Stockdale,24.7,3175,3,1,1,713,145,1960,Greater Dandenong City Council,-37.98997,145.2254,South-Eastern Metropolitan,10894,Detached Garage,669000,2017,7
Brunswick West,2,t,VB,Nelson,5.9,3055,2,1,1,0,85,1970,Moreland City Council,-37.7607,144.9393,Northern Metropolitan,7082,Underground,380000,2016,7
Elwood,3,u,SP,Chisholm,7.2,3184,2.8,1.8,1.4,396,186.8,1934,Port Phillip City Council,-37.859602,145.03323,Southern Metropolitan,8989,Parkade,1800000,2018,6
South Yarra,1,u,S,hockingstuart,2.7,3141,1,1,1,10,51.4,1960,Melbourne City Council,-37.84157,144.98935,Southern Metropolitan,14887,Attached Garage,401500,2017,7
Mentone,2,u,S,Thomson,20,3194,2,1,1,723,85.2,1977.2,Kingston City Council,-37.99121,145.06458,South-Eastern Metropolitan,6162,Detached Garage,525000,2017,6
Heidelberg,3,h,VB,Fletchers,10.6,3084,3,2,2,285,132.18702,2010,Banyule City Council,-37.7491,145.0702,Eastern Metropolitan,2890,Indoor,850000,2016,9
Point Cook,3,u,SP,Barry,14.7,3030,2.2,1.2,0.8,369.2,96.8,1973.6,Wyndham City Council,-37.77596,144.913652,Western Metropolitan,15542,Carport,485000,2018,3
St Kilda,1,u,VB,Gary,6.1,3182,1,1,1,0,53,1998,Port Phillip City Council,-37.8605,144.9769,Southern Metropolitan,13240,Underground,400000,2016,7
Broadmeadows,3,u,S,RW,14,3047,3,1,2,368.6,94,1998.4,Hume City Council,-37.69176,144.91736,Northern Metropolitan,4294,Attached Garage,477000,2017,9
Brunswick East,3,h,S,Jellis,4.5,3057,3,1,2,812,113,1920,Moreland City Council,-37.7673,144.9782,Northern Metropolitan,5533,Indoor,1600000,2016,11
East Melbourne,1,u,SP,Caine,1.5,3002,1,1,1,0,122.4,1995.2,Melbourne City Council,-37.8168,144.9787,Northern Metropolitan,3040,Parkade,630000,2017,2
Thomastown,3,h,S,Barry,15.3,3074,3,1,1.4,568.2,133.6,1964.6,Whittlesea City Council,-37.6751,145.0013,Northern Metropolitan,7955,Detached Garage,710000,2017,11
Eltham,3,h,S,Nelson,18,3095,3,2,2,794,161,1980,Banyule City Council,-37.72185,145.15299,Eastern Metropolitan,6990,Outdoor Stall,860000,2017,7
Kingsville,3,h,PI,Jas,6.4,3012,3,2,0,275,122,1910,Maribyrnong City Council,-37.81196,144.88209,Western Metropolitan,1808,Attached Garage,1100000,2017,9
Elwood,2,u,S,Marshall,7.7,3184,2,1,2,0,85,1940,Port Phillip City Council,-37.8794,144.9938,Southern Metropolitan,8989,Detached Garage,790000,2016,4
Reservoir,3,h,S,Barry,11.2,3073,3,1,1,467,113.926,1991.8,Darebin City Council,-37.7219,144.9892,Northern Metropolitan,21650,Detached Garage,665000,2016,5
St Kilda,2,u,VB,Jellis,5,3182,1.8,1.2,1.4,366.4,82.4,1992.8,Port Phillip City Council,-37.864362,144.92372,Southern Metropolitan,13240,Attached Garage,500000,2018,6
Ivanhoe,2,h,S,Miles,7.8,3079,2,1,1,557,148.6,1958.8,Banyule City Council,-37.76003,145.04818,Eastern Metropolitan,5549,Attached Garage,1395000,2018,6
Keilor East,4,h,S,Brad,12.8,3033,3,1,1,622,126,1965,Brimbank City Council,-37.7425,144.8683,Western Metropolitan,5629,Parkade,845000,2016,4
Reservoir,2,u,VB,Love,11.2,3073,2,1,1,0,55,2014,Darebin City Council,-37.7112,144.9989,Northern Metropolitan,21650,Attached Garage,300000,2016,8
Blackburn North,3,t,VB,Fletchers,13.4,3130,3,2,2,210,132.18702,1973.2,Whitehorse City Council,-37.80912,145.14443,Eastern Metropolitan,2867,Carport,850000,2018,3
Donvale,5,h,S,Barry,16.1,3111,5,2,2,704,280,1994,Manningham City Council,-37.7741,145.18,Eastern Metropolitan,4790,Carport,1440000,2017,11
Ringwood,4,h,PI,Ray,19.9,3134,4,3,1.6,710,277,1970,Maroondah City Council,-37.81519,145.21356,Eastern Metropolitan,7785,Attached Garage,955000,2018,3
Carnegie,3,t,S,Gary,11.4,3163,3,1,1,111,116,1998,Glen Eira City Council,-37.8889,145.0495,Southern Metropolitan,7822,Detached Garage,808000,2017,2
Campbellfield,3,h,S,Raine,16.6,3061,2.6,1,1.4,294.8,105.2,1974,Hume City Council,-37.761258,144.8942,Northern Metropolitan,1889,Indoor,430000,2018,3
Mentone,4,h,SP,O'Brien,20,3194,4,3,2,652,288,1960,Kingston City Council,-37.976,145.0757,South-Eastern Metropolitan,6162,Detached Garage,1460000,2017,11
Clifton Hill,2,h,SP,Nelson,3.4,3068,2,1,0,197,167.6,1967.4,Yarra City Council,-37.7924,145.0002,Northern Metropolitan,2954,Attached Garage,1417000,2016,10
Mitcham,4,h,S,Noel,17.2,3132,4,2,2,507,118,1932,Whitehorse City Council,-37.82282,145.2051,Eastern Metropolitan,6871,Outdoor Stall,1212000,2018,3
Point Cook,3,h,S,LJ,14.7,3030,3,2,2,408.4,151,2000.4,Wyndham City Council,-37.91055,144.72382,Western Metropolitan,15542,Detached Garage,651000,2017,8
Malvern East,2,t,VB,Jellis,8.4,3145,2,1,1,71,141,2008,Stonnington City Council,-37.87405,145.05067,Southern Metropolitan,8801,Parkade,700000,2018,3
Williamstown,4,h,S,Greg,8,3016,3,2,2,466,160,1930,Hobsons Bay City Council,-37.8621,144.8872,Western Metropolitan,6380,Carport,1805000,2016,4
Keilor East,4,h,S,Bekdon,12.8,3033,2,1,1.2,360.2,92.8,1964.6,Brimbank City Council,-37.835546,145.02291,Western Metropolitan,5629,Parkade,760000,2016,6
Pascoe Vale,3,t,S,Brad,9.9,3044,3,3,1,291,175,2009,Moreland City Council,-37.7271,144.9261,Northern Metropolitan,7485,Underground,790000,2016,12
Hoppers Crossing,4,h,S,RW,18.4,3029,4,2,2,562,144,1976,Wyndham City Council,-37.88976,144.68211,Western Metropolitan,13830,Detached Garage,530000,2017,10
Essendon North,2,u,SP,Nelson,9.4,3041,2,1,1,0,65,1960,Moonee Valley City Council,-37.7433,144.9074,Western Metropolitan,1308,Detached Garage,340000,2016,6
Footscray,3,h,S,Jas,6.4,3011,2,1,1,451,130,1910,Maribyrnong City Council,-37.8023,144.8915,Western Metropolitan,7570,Detached Garage,932000,2016,8
Pascoe Vale,2,h,S,Nelson,9.9,3044,2,1,1,587,95,1920,Moreland City Council,-37.7306,144.9357,Northern Metropolitan,7485,Carport,999000,2017,8
Glen Iris,3,h,S,Jellis,9.2,3146,3,1,3,650,136,1930,Boroondara City Council,-37.8571,145.0766,Southern Metropolitan,10412,Detached Garage,1820000,2016,12
Dallas,3,h,S,YPA,14,3047,2.2,1,1.2,192.8,101.626,1978,Hume City Council,-37.7597,145.0269,Northern Metropolitan,2246,Carport,525000,2017,9
Taylors Hill,3,h,S,Barry,18,3037,3,2,2,389,161,2005,Melton City Council,-37.71364,144.76031,Western Metropolitan,4242,Attached Garage,520000,2017,7
Caulfield,2,u,SP,Gary,8.9,3162,2,2,1,0,90.4,1966,Glen Eira City Council,-37.8862,145.0175,Southern Metropolitan,2379,Detached Garage,638000,2016,11
New Gisborne,5,h,S,Raine,11.7,3438,5,3,1.6,639,134,1954,Macedon Ranges Shire Council,-37.45392,144.58864,Northern Victoria,849,Carport,1355000,2017,9
Windsor,2,h,S,Jellis,5.1,3181,2,1,2,0,96,1928,Port Phillip City Council,-37.8518,144.9868,Southern Metropolitan,4380,Attached Garage,1500000,2016,11
Caulfield North,3,t,S,Gary,8.1,3161,3.2,1.6,1.6,467.8,170.8,1927.4,Glen Eira City Council,-37.85304,144.979662,Southern Metropolitan,6923,Attached Garage,1610000,2016,5
Hawthorn,2,u,PI,Jellis,5.3,3122,2,1,1,168.2,71,1965,Boroondara City Council,-37.82824,145.03137,Southern Metropolitan,11308,Indoor,450000,2017,1
Balwyn North,5,h,PI,Fletchers,9.7,3104,5,1,2,760,160.396,1954.2,Boroondara City Council,-37.79063,145.09677,Southern Metropolitan,7809,Detached Garage,1510000,2018,3
Camberwell,2,u,SP,LITTLE,7.8,3124,2,1,1,896,77,1960,Boroondara City Council,-37.8479,145.0958,Southern Metropolitan,8920,Attached Garage,435000,2016,12
Doncaster,3,h,S,Philip,13.9,3108,3,1,2,798,132,1960,Manningham City Council,-37.7894,145.1333,Eastern Metropolitan,9028,Carport,1362000,2016,11
Roxburgh Park,5,h,S,LJ,20.6,3064,2.8,1.8,1.4,404.4,159.8,1980.2,Hume City Council,-37.763306,144.872044,Northern Metropolitan,5833,Carport,715000,2017,8
Hawthorn East,2,u,SP,Fletchers,6.2,3123,3.4,1.6,1.4,435,162.6,1981,Boroondara City Council,-37.775016,144.979804,Southern Metropolitan,6482,Carport,642100,2017,11
Sunshine West,3,h,S,Barry,13.5,3020,3,1,2,538,100,1984.4,Brimbank City Council,-37.7952,144.8126,Western Metropolitan,6763,Carport,488000,2016,3
Bentleigh,2,u,SP,Jellis,11.4,3204,1.8,1,1,80,60.2,1989.6,Glen Eira City Council,-37.7935,144.930952,Southern Metropolitan,6795,Parkade,392000,2018,6
Niddrie,2,h,S,Barry,11.2,3042,2,2,1,268,104,1950,Moonee Valley City Council,-37.7343,144.8783,Western Metropolitan,2291,Underground,657000,2016,12
MacLeod,3,h,SP,Ray,12.7,3085,3.4,1.6,1.6,556.2,134.4,1956,Banyule City Council,-37.82898,145.069692,Northern Metropolitan,4168,Detached Garage,945000,2017,3
Heathmont,3,h,S,Barry,21.3,3135,3,1.4,1.4,424.8,133.4,1940,Maroondah City Council,-37.875488,145.039028,Eastern Metropolitan,3794,Attached Garage,1226000,2017,8
Ashwood,2,h,S,Jellis,12.2,3147,3,1.6,1,483.2,150.8,1956.2,Monash City Council,-37.816856,145.061516,Southern Metropolitan,2894,Carport,1250000,2017,3
Mont Albert,3,h,S,Jellis,11.8,3127,3.6,1.6,1.6,639,114.6,1943,Boroondara City Council,-37.8172,145.1083,Eastern Metropolitan,2079,Attached Garage,1355000,2016,9
Hampton East,3,t,SA,Ray,14.5,3188,3,1.8,1.2,476.4,175.6,1964.6,Bayside City Council,-37.792266,144.9362,Southern Metropolitan,2356,Carport,1297500,2016,6
Surrey Hills,3,h,S,Marshall,11.2,3127,3,2,1,404,211.2,1951.8,Boroondara City Council,-37.8203,145.088,Southern Metropolitan,5457,Attached Garage,1910000,2016,6
Eltham,3,u,S,Morrison,18,3095,2.8,1.4,1.4,447.6,153.4,1953.2,Banyule City Council,-37.859124,145.041444,Eastern Metropolitan,6990,Outdoor Stall,1026000,2017,11
Glen Iris,2,u,S,Jellis,7.3,3146,2.2,1.4,1.4,165.2,88,1974.6,Boroondara City Council,-37.843304,144.946598,Southern Metropolitan,10412,Carport,575000,2018,2
Heidelberg West,3,h,S,William,8.8,3081,3,1,0,593,95,1950,Banyule City Council,-37.7482,145.04073,Eastern Metropolitan,2674,Attached Garage,726500,2017,1
Spotswood,2,h,S,Jas,7.7,3015,2,1,2,502,104,1950,Hobsons Bay City Council,-37.8263,144.8775,Western Metropolitan,1223,Carport,850000,2016,8
Williamstown,2,h,S,RT,8,3016,2,1,2,183,132.6,1974,Hobsons Bay City Council,-37.8555,144.8952,Western Metropolitan,6380,Attached Garage,811000,2017,2
Brunswick West,1,u,S,Frank,5.2,3055,1,1,1,41,44.2,1975,Moreland City Council,-37.75953,144.94094,Northern Metropolitan,7082,Underground,263100,2017,5
Clarinda,3,u,S,Buxton,17.5,3169,2.8,1.6,1.8,483,123.4,1986,Kingston City Council,-37.748238,144.904372,South-Eastern Metropolitan,2727,Attached Garage,670500,2017,10
Cheltenham,3,h,S,O'Brien,17.9,3192,3,2,2,534,134,1980,Bayside City Council,-37.9583,145.06041,Southern Metropolitan,9758,Parkade,1160000,2017,9
Rosanna,3,h,SP,Nelson,11.4,3084,3,1.4,1.6,457,137.4,1964,Banyule City Council,-37.770708,144.955256,Eastern Metropolitan,3540,Carport,765000,2016,4
Maidstone,2,u,SP,Biggin,6.4,3012,2,2,1,128.4,107.9,1984.8,Maribyrnong City Council,-37.7795,144.87286,Western Metropolitan,3873,Parkade,420000,2017,8
Kooyong,3,t,S,Abercromby's,6.2,3144,3.2,1.4,2,660.2,140.6,1967,Stonnington City Council,-37.823268,144.98597,Southern Metropolitan,394,Parking Pad,1706000,2016,11
Heidelberg Heights,2,t,S,Jellis,8.8,3081,2,1,1,129,106,2013,Banyule City Council,-37.74931,145.05505,Eastern Metropolitan,2947,Carport,680000,2017,5
Northcote,3,h,S,Nelson,5.5,3070,3,2,1,259,156,1910,Darebin City Council,-37.7687,144.9922,Northern Metropolitan,11364,Detached Garage,1255000,2016,10
Mooroolbark,4,h,S,iTRAK,10.66,3138,4,2,1.6,482.4,191,1970,Yarra Ranges Shire Council,-37.77234,145.30381,Eastern Victoria,8280,Carport,794500,2017,8
Ascot Vale,3,h,S,Barry,5.9,3032,2,1,1,278,166,1900,Moonee Valley City Council,-37.7768,144.9223,Western Metropolitan,6567,Detached Garage,1305000,2016,5
Richmond,2,t,S,Jellis,2.4,3121,2.8,1.4,0.8,254.2,122.8,1952.8,Yarra City Council,-37.79184,145.003236,Northern Metropolitan,14949,Indoor,900000,2017,9
Fitzroy,1,u,S,Nelson,2.1,3065,3,1.8,2.2,367,165.2,1980.6,Yarra City Council,-37.821432,144.94439,Northern Metropolitan,5825,Underground,840000,2017,10
Essendon,1,u,VB,Brad,8,3040,1,1,1,0,125,1970,Moonee Valley City Council,-37.7523,144.9221,Western Metropolitan,9264,Attached Garage,250000,2016,6
Boronia,4,h,S,iTRAK,25,3155,4,2,1.8,556.4,151,1973,Knox City Council,-37.84634,145.28828,Eastern Metropolitan,9704,Carport,780000,2017,10
Northcote,3,h,S,Collins,5.5,3070,3,1,1,335,165.8,1936.4,Darebin City Council,-37.7816,145.0141,Northern Metropolitan,11364,Attached Garage,1400000,2016,9
Altona North,3,h,S,Sweeney,11.1,3025,3,1,2,399.4,120.6,1960.6,Hobsons Bay City Council,-37.78249,144.89857,Western Metropolitan,5132,Indoor,840000,2016,7
Ormond,3,h,PI,Buxton,11.4,3204,3,2,2,581,155.4,1980,Glen Eira City Council,-37.90499,145.04206,Southern Metropolitan,3578,Parking Pad,1650000,2017,9
Fawkner,4,u,S,hockingstuart,12.4,3060,4,2,3,209,120,1960,Hume City Council,-37.7172,144.968,Northern Metropolitan,5070,Carport,540000,2016,9
Blackburn North,4,h,SP,McGrath,13.4,3130,4,2,2,938,131,1970.4,Whitehorse City Council,-37.80227,145.16073,Eastern Metropolitan,2867,Outdoor Stall,1300000,2018,3
Richmond,2,h,PI,Biggin,2.6,3121,2,1,0,111,110.8,1968,Yarra City Council,-37.8108,144.9955,Northern Metropolitan,14949,Carport,860000,2017,5
Fawkner,2,h,PI,Stockdale,13.1,3060,2,1,1,779,102,1950,Hume City Council,-37.71532,144.96508,Northern Metropolitan,5070,Carport,830000,2017,7
Doncaster,5,h,S,Barry,13.9,3108,3.6,1.6,1.6,524.8,135,1924.6,Manningham City Council,-37.837498,145.065866,Eastern Metropolitan,9028,Detached Garage,1605000,2016,7
Keilor Downs,3,h,S,Barry,15.5,3038,3,2,2,702,175,1985,Brimbank City Council,-37.717,144.80736,Western Metropolitan,3656,Parkade,780000,2017,9
Ascot Vale,3,h,SP,Rendina,5.9,3032,2.6,1.4,1.6,254.4,110.4,1932,Moonee Valley City Council,-37.798698,144.857724,Western Metropolitan,6567,Indoor,770000,2016,12
Armadale,1,u,S,Marshall,6.3,3143,1,1,1,0,108.2,1960,Stonnington City Council,-37.85889,145.01989,Southern Metropolitan,4836,Detached Garage,380000,2017,7
Elsternwick,1,u,SP,hockingstuart,7.2,3185,1.8,1,1,211.8,108.2,1974,Glen Eira City Council,-37.820226,144.919846,Southern Metropolitan,4898,Attached Garage,380000,2017,10
Coburg,4,h,S,Hodges,7.8,3058,4,1,0.8,531,187,1925,Darebin City Council,-37.7473,144.9528,Northern Metropolitan,11204,Attached Garage,1075000,2017,2
Keilor Downs,4,h,S,Barry,15.5,3038,4,2,1.6,345.8,170,1984,Brimbank City Council,-37.71413,144.80851,Western Metropolitan,3656,Parkade,715000,2017,8
Footscray,3,h,S,Sweeney,6.4,3011,3,1,0,164,93,1900,Maribyrnong City Council,-37.7959,144.8863,Western Metropolitan,7570,Detached Garage,840000,2016,3
Derrimut,3,h,PI,FN,14.7,3030,3,2,2,504,122.4,1995.2,Brimbank City Council,-37.79691,144.7669,Western Metropolitan,2276,Parkade,630000,2017,9
Watsonia,3,t,SP,Buckingham,14.5,3087,3.6,1.6,1.2,707.8,132,1972,Banyule City Council,-37.726318,145.037568,Northern Metropolitan,2329,Indoor,850000,2017,7
Truganina,2,t,SP,Reliance,18.4,3029,2,1,1,206,78.128,1978.2,Melton City Council,-37.84219,144.71155,Western Metropolitan,5811,Attached Garage,385000,2017,1
Princes Hill,2,h,S,Nelson,3.7,3054,2.6,1,1.4,577,162.8,1967.6,Yarra City Council,-37.841106,145.003556,Northern Metropolitan,1008,Underground,1100000,2016,4
Avondale Heights,3,h,SP,Moonee,10.5,3034,3,1.2,1.6,583.8,128,1982.2,Moonee Valley City Council,-37.792578,145.03384,Western Metropolitan,4502,Detached Garage,710000,2016,5
Hawthorn,2,u,S,Marshall,5.3,3122,2.2,1.6,1.2,120,99.4,1995.6,Boroondara City Council,-37.811196,145.019468,Southern Metropolitan,11308,Underground,630000,2017,11
Sunshine North,3,h,SP,Barry,13.3,3020,3,1,1,0,99.6,1977.8,Brimbank City Council,-37.7652,144.8376,Western Metropolitan,4217,Outdoor Stall,580000,2017,3
Malvern East,4,h,PI,hockingstuart,11.2,3145,4,2,2,645,176.4,1917,Stonnington City Council,-37.8805,145.0668,Southern Metropolitan,8801,Parkade,2110000,2016,8
Essendon,3,u,S,Brad,7.5,3040,3,2,1,223,146,2002,Moonee Valley City Council,-37.74566,144.89346,Western Metropolitan,9264,Parkade,930000,2017,6
Glenroy,3,h,PI,Eview,11.2,3046,3,2,2,704,198.6,1942.6,Moreland City Council,-37.71193,144.91794,Northern Metropolitan,8870,Attached Garage,1000000,2017,10
MacLeod,2,t,S,Morrison,12.7,3085,2.8,1.6,2,197.8,134.6,1993.8,Banyule City Council,-37.731166,144.842388,Northern Metropolitan,4168,Detached Garage,671000,2017,10
Kensington,3,h,S,Nelson,3.4,3031,3,2,0,146,138,1891,Melbourne City Council,-37.79611,144.93305,Northern Metropolitan,5263,Carport,1390000,2018,3
Doncaster,3,u,SP,Jellis,13.9,3108,3,2,2,0,90.2,1989.2,Manningham City Council,-37.7826,145.1274,Eastern Metropolitan,9028,Indoor,655000,2016,12
Malvern East,2,u,S,Jellis,11.2,3145,2.8,1.4,1.6,637,98.4,1975.6,Stonnington City Council,-37.724356,145.004266,Southern Metropolitan,8801,Parking Pad,695000,2017,3
Meadow Heights,3,t,S,YPA,17.4,3048,2.6,1.4,1,117.4,91.8,1996.8,Hume City Council,-37.749516,144.839988,Northern Metropolitan,4704,Attached Garage,347500,2017,11
Elwood,4,h,S,Pride,7.7,3184,4,2,0,223,173,1910,Port Phillip City Council,-37.882,144.993,Southern Metropolitan,8989,Indoor,1875000,2016,12
Brunswick,2,h,S,Woodards,5.2,3056,2,1,0,1328,141,1880,Moreland City Council,-37.7731,144.9568,Northern Metropolitan,11918,Detached Garage,955000,2017,4
Northcote,2,u,VB,McGrath,5.5,3070,2.2,1.2,1.2,122.2,69.4,1988.8,Darebin City Council,-37.778296,144.945474,Northern Metropolitan,11364,Parkade,460000,2016,10
Craigieburn,4,h,S,RW,20.6,3064,4,2,2,364.2,196,2014,Hume City Council,-37.5765,144.903,Northern Metropolitan,15510,Indoor,630000,2017,4
Burwood,4,h,S,Buxton,11.7,3125,3,2,3,739,182,1970,Monash City Council,-37.8552,145.1292,Southern Metropolitan,5678,Detached Garage,1410000,2016,6
Wantirna,4,h,S,iTRAK,14.7,3152,4,2,2,645,250,1988,Knox City Council,-37.85823,145.21613,Eastern Metropolitan,5424,Indoor,1003000,2017,10
West Footscray,3,h,S,Village,8.2,3012,3,2,2,355,130.8,1950,Maribyrnong City Council,-37.7914,144.8742,Western Metropolitan,5058,Parking Pad,1074000,2016,3
Gardenvale,1,u,S,hockingstuart,7.2,3185,1.8,1,1,14.8,41.864,1978,Glen Eira City Council,-37.795488,144.92822,Southern Metropolitan,534,Underground,300000,2017,9
Oakleigh South,4,h,PI,Woodards,14.7,3167,4,2,2,214,189,2010,Kingston City Council,-37.9244,145.0883,South-Eastern Metropolitan,3692,Carport,651000,2016,7
Airport West,2,t,S,Barry,10.4,3042,2.8,1.4,2,529.4,142,1982,Moonee Valley City Council,-37.7855,144.922438,Western Metropolitan,3464,Attached Garage,670000,2017,7
Burwood East,3,h,S,Fletchers,14.7,3151,3,1,3,531,109.6,1950,Whitehorse City Council,-37.85717,145.14273,Eastern Metropolitan,4048,Detached Garage,985000,2017,10
St Kilda,2,h,S,Gary,6.1,3182,2,1,0,215,127,1950,Port Phillip City Council,-37.869,144.9826,Southern Metropolitan,13240,Detached Garage,1316000,2017,3
Carnegie,3,h,S,Woodards,10.1,3163,3,2,2,603,131.8,1943.4,Glen Eira City Council,-37.90206,145.05598,Southern Metropolitan,7822,Underground,1500000,2017,9
Coburg,3,t,PI,C21,7.8,3058,3,2,2,531,112,2016,Darebin City Council,-37.7424,144.9571,Northern Metropolitan,11204,Carport,720000,2017,4
Heidelberg Heights,3,h,SP,Barry,10.5,3081,3,2,1,665,121.2,1961,Banyule City Council,-37.7505,145.0477,Eastern Metropolitan,2947,Indoor,725000,2016,10
Glenroy,2,t,S,Rendina,11.2,3046,2,1,1.4,169,97.4,1974,Moreland City Council,-37.781554,144.992636,Northern Metropolitan,8870,Parkade,530000,2017,11
Moonee Ponds,3,h,VB,Nelson,6.2,3039,3,1,1,429,180,2011,Moonee Valley City Council,-37.76872,144.92706,Western Metropolitan,6232,Indoor,1300000,2018,2
Broadmeadows,4,t,S,YPA,14,3047,2.8,1.2,1.8,472,103.4,1974.8,Hume City Council,-37.768714,144.96177,Northern Metropolitan,4294,Carport,575000,2017,11
Delahey,3,h,S,Barry,18,3037,3,2,2,566,126,1988,Brimbank City Council,-37.716,144.76879,Western Metropolitan,2898,Carport,600000,2017,9
Bundoora,5,h,S,Ray,12.1,3083,5,3,2,593,162,1962.6,Banyule City Council,-37.68878,145.05795,Northern Metropolitan,10175,Carport,940000,2017,8
Collingwood,3,t,SP,Nelson,1.6,3066,3,2,2,0,151,2000,Yarra City Council,-37.8083,144.9908,Northern Metropolitan,4553,Carport,1125000,2017,4
Hoppers Crossing,4,h,SP,Reliance,18.4,3029,4,2,2,397.4,163,1985,Wyndham City Council,-37.86414,144.68111,Western Metropolitan,13830,Attached Garage,670000,2017,9
Elsternwick,3,t,S,Biggin,7.2,3185,3,1,2,415.2,117,1965,Glen Eira City Council,-37.88065,145.01112,Southern Metropolitan,4898,Attached Garage,1200000,2017,7
Flemington,2,t,SP,hockingstuart,4.4,3031,2.6,1.2,2.4,476.8,105.2,1976.2,Melbourne City Council,-37.773672,145.004706,Northern Metropolitan,3593,Attached Garage,650000,2016,12
